city_name,latitude,longitude,zip_code
Carlinda,-10.0379,-55.8509,78587-000
Barra do Garças,-15.3477,-52.4837,78600-000
Campos de Júlio,-13.633,-59.1785,78307-000
Cáceres,-16.4226,-57.7108,78200-000
Cláudia,-11.4509,-54.9983,78540-000
Castanheira,-10.8793,-58.651,78345-000
Cocalinho,-13.8027,-51.1534,78680-000
CanaBrava do Norte,-11.1811,-51.8638,78658-000
Campinápolis,-14.3071,-53.1559,78630-000
Chapada dos Guimarães,-15.0201,-55.5373,78195-000
Canarana,-13.1775,-52.371,78640-000
Colíder,-10.5633,-55.4457,78500-000
Comodoro,-13.3258,-59.8215,78310-000
Denise,-14.7574,-56.9511,78380-000
Cotriguaçu,-9.5033,-58.7913,78330-000
Dom Aquino,-15.721,-54.8304,78830-000
Confresa,-10.3096,-51.7365,78652-000
Cuiabá,-15.4192,-55.8902,78000-000
Figueirópolis d'Oeste,-15.487,-58.6972,78290-000
Gaúcha do Norte,-12.9936,-53.5226,78875-000
Indiavaí,-15.3148,-58.6296,78295-000
Feliz Natal,-11.936,-54.2392,78885-000
Glória d'Oeste,-15.9131,-58.3045,78293-000
Guiratinga,-16.3698,-53.5747,78760-000
General Carneiro,-15.5154,-53.2979,78620-000
Diamantino,-14.0224,-56.7774,78400-000
Jangada,-15.3376,-56.5428,78490-000
Itaúba,-11.0954,-55.5885,78510-000
Jaciara,-15.8956,-55.0224,78820-000
Guarantã do Norte,-9.756,-54.7289,78520-000
Itiquira,-17.3944,-54.7699,78790-000
Jauru,-15.3245,-58.8458,78255-000
Lucas do Rio Verde,-13.041,-56.1558,78455-000
Juara,-11.0983,-57.4916,78575-000
Juína,-11.4033,-59.5081,78320-000
Juscimeira,-16.2053,-54.8803,78810-000
Lambari d'Oeste,-15.6546,-57.7881,78278-000
Vila Bela da Santíssima Trindade,-14.8915,-60.0578,78245-000
Juruena,-10.2899,-58.653,78340-000
Luciára,-10.8724,-51.0928,78660-000
Nova Bandeirantes,-9.6857,-58.0184,78565-000
Nova Lacerda,-14.2673,-59.7928,78243-000
Nortelândia,-14.4279,-56.7415,78430-000
Marcelândia,-11.0037,-54.1332,78535-000
Matupá,-9.9459,-54.3499,78525-000
Mirassol d'Oeste,-15.6352,-58.0051,78280-000
Nobres,-14.3858,-55.775,78460-000
Nossa Senhora do Livramento,-15.9345,-56.5459,78170-000
Nova Mutum,-13.5891,-56.1519,78450-000
Nova Brasilândia,-14.7574,-55.1053,78860-000
Nova Canaã do Norte,-10.7199,-56.0344,78515-000
Nova Ubiratã,-12.6823,-54.4773,78888-000
Nova Olímpia,-14.7989,-57.4289,78370-000
Novo Horizonte do Norte,-11.3792,-57.2836,78570-000
Pontes e Lacerda,-15.3614,-59.334,78250-000
Poconé,-16.8128,-57.0017,78175-000
Pedra Preta,-16.7638,-54.1634,78795-000
Planalto da Serra,-14.5652,-54.6777,78855-000
Pontal do Araguaia,-15.9676,-52.7542,78698-000
Novo São Joaquim,-15.0957,-53.2957,78625-000
Novo Mundo,-9.8366,-55.3135,78528-000
Porto Esperidião,-15.8862,-58.9711,78240-000
Nova Xavantina,-14.5875,-52.3258,78690-000
Paranatinga,-13.3433,-54.0155,78870-000
Paranaíta,-9.5637,-56.7654,78590-000
Ponte Branca,-16.6505,-52.9024,78610-000
Porto Alegre do Norte,-10.8508,-51.7693,78655-000
Peixoto de Azevedo,-10.1875,-54.1183,78530-000
Porto dos Gaúchos,-11.7604,-56.8572,78560-000
Porto Estrela,-15.5197,-57.2294,78398-000
Poxoréo,-15.7564,-54.1187,78800-000
Primavera do Leste,-15.1406,-54.195,78850-000
Ribeirãozinho,-16.5014,-52.7591,78613-000
Querência,-12.3212,-52.5476,78643-000
São José dos Quatro Marcos,-15.5161,-58.3243,78285-000
Reserva do Cabaçal,-15.1254,-58.3858,78265-000
Ribeirão Cascalheira,-12.7352,-51.7146,78675-000
Rio Branco,-15.3112,-58.1245,78275-000
Santa Carmem,-11.906,-54.8077,78545-000
São José do Xingu,-10.7279,-52.6211,78663-000
Rondonópolis,-16.4332,-54.6372,78700-000
Santo Afonso,-14.4613,-57.3858,78425-000
São José do Povo,-16.4455,-54.285,78773-000
Salto do Céu,-15.1344,-57.959,78270-000
São José do Rio Claro,-13.527,-56.8506,78435-000
São Félix do Araguaia,-11.4423,-52.1392,78670-000
Santa Terezinha,-10.3914,-50.8326,78650-000
São Pedro da Cipa,-15.9516,-54.7796,78835-000
Rosário Oeste,-14.5798,-55.7148,78470-000
Santo Antônio do Leverger,-16.7858,-55.3133,78180-000
Sapezal,-13.1645,-58.6879,78365-000
Sinop,-11.7641,-55.4402,78550-000
Vila Rica,-10.1341,-51.4137,78645-000
Várzea Grande,-15.5658,-56.2439,78110-000
Tesouro,-15.949,-53.4334,78775-000
Nova Maringá,-12.9838,-57.1917,78445-000
Nova Marilândia,-14.3126,-57.2609,78415-000
Nova Guarita,-10.2853,-55.3373,78508-000
Tangará da Serra,-14.5232,-58.0986,78300-000
Abaeté,-19.111,-45.4305,35620-000
União do Sul,-11.472,-54.1881,78543-000
Sorriso,-12.6817,-55.6995,78890-000
Tabaporã,-11.053,-56.6419,78563-000
Tapurah,-12.1149,-56.2437,78555-000
Terra Nova do Norte,-10.4954,-54.9555,78505-000
Acaiaca,-20.4036,-43.1008,35438-000
Torixoréu,-16.2759,-52.8812,78695-000
Nova Monte Verde,-9.9974,-57.2977,78593-000
Vera,-12.4661,-55.3481,78880-000
Abadia dos Dourados,-18.3635,-47.47,38540-000
Abre Campo,-20.2727,-42.4391,35365-000
Açucena,-19.0301,-42.411,35150-000
Água Boa,-18.0642,-42.2303,39790-000
Águas Formosas,-17.0485,-40.9727,39880-000
Água Comprida,-19.9912,-48.1104,38110-000
Aguanil,-20.9696,-45.4172,37273-000
Alagoa,-22.1815,-44.6602,37458-000
Aiuruoca,-21.947,-44.6478,37450-000
Alpercata,-18.9838,-42.0014,35138-000
Águas Vermelhas,-15.6868,-41.5604,39990-000
Albertina,-22.1991,-46.6208,37596-000
Aimorés,-19.6255,-41.2095,35200-000
Além Paraíba,-21.8094,-42.7574,36660-000
Alterosa,-21.219,-46.1869,37145-000
Alvarenga,-19.3987,-41.6814,35249-000
Alfenas,-21.3929,-45.9952,37130-000
Almenara,-16.1005,-40.7101,39900-000
Alto Caparaó,-20.5275,-41.9645,36836-000
Alpinópolis,-20.8182,-46.3794,37940-000
Alto Rio Doce,-21.0193,-43.4054,36260-000
Alfredo Vasconcelos,-21.1424,-43.7111,36272-000
Alvinópolis,-20.1208,-43.154,35950-000
Alvorada de Minas,-18.7953,-43.37,39140-000
Amparo do Serra,-20.5238,-42.7988,35444-000
Cachoeira de Pajeú,-15.9716,-41.493,39980-000
Andradas,-22.0698,-46.5723,37795-000
Angelândia,-17.6128,-42.1394,39685-000
Andrelândia,-21.7113,-44.2791,37300-000
Araújos,-19.8754,-45.1568,35603-000
Antônio Carlos,-21.4084,-43.7694,36220-000
Araçaí,-19.242,-44.2243,35777-000
Araponga,-20.6661,-42.5111,36594-000
Arapuá,-19.0307,-46.0958,38860-000
Antônio Prado de Minas,-21.0266,-42.155,36850-000
Araxá,-19.6108,-46.9797,38180-000
Araçuaí,-16.9082,-41.986,39600-000
Antônio Dias,-19.5623,-42.8885,35177-000
Aracitaba,-21.3524,-43.4086,36255-000
Araguari,-18.5907,-48.2615,38440-000
Arantina,-21.8963,-44.2263,37360-000
Araporã,-18.4906,-49.1376,38435-000
Arceburgo,-21.3666,-46.9447,37820-000
Arcos,-20.2435,-45.5676,35588-000
Areado,-21.334,-46.168,37140-000
Argirita,-21.6391,-42.8286,36710-000
Aricanduva,-17.8579,-42.5979,39678-000
Bandeira,-15.8804,-40.5997,39917-000
Barão de Monte Alto,-21.2654,-42.2789,36870-000
Barão de Cocais,-19.8798,-43.4948,35970-000
Augusto de Lima,-18.1072,-44.1679,39220-000
Bela Vista de Minas,-19.8014,-43.1027,35938-000
Ataléia,-18.1835,-41.1672,39850-000
Baldim,-19.2366,-43.8468,35706-000
Astolfo Dutra,-21.3041,-42.8819,36780-000
Baependi,-21.9762,-44.8556,37443-000
Arinos,-15.8033,-45.942,38680-000
Bambuí,-20.1045,-45.9874,38900-000
Bandeira do Sul,-21.7291,-46.3828,37740-000
Barbacena,-21.2503,-43.8417,36200-000
Barra Longa,-20.2786,-43.0717,35447-000
Barroso,-21.1789,-43.9571,36212-000
Bias Fortes,-21.6301,-43.7551,36230-000
Belo Vale,-20.4158,-44.0647,35473-000
Belo Horizonte,-19.8993,-43.957,30000-000
Belo Oriente,-19.2556,-42.4429,35195-000
Belmiro Braga,-21.9644,-43.4593,36126-000
Berilo,-16.8634,-42.4889,39640-000
Bicas,-21.7324,-43.1045,36600-000
Bom Jardim de Minas,-21.9439,-44.1219,37310-000
Bom Jesus do Galho,-19.7169,-42.3756,35340-000
Boa Esperança,-21.0813,-45.6243,37170-000
Bom Jesus da Penha,-20.999,-46.5477,37948-000
Berizal,-15.6776,-41.7714,39555-000
Biquinhas,-18.7623,-45.5485,35621-000
Betim,-19.9626,-44.1945,32500-000
Bocaiúva,-17.305,-43.6763,39390-000
Bertópolis,-16.9544,-40.5643,39875-000
Bocaina de Minas,-22.2344,-44.4934,37340-000
Bom Repouso,-22.4496,-46.1863,37610-000
Bom Jesus do Amparo,-19.7167,-43.4684,35908-000
Bom Despacho,-19.6915,-45.253,35600-000
Bonfim,-20.3159,-44.2074,35521-000
Bom Sucesso,-21.0303,-44.795,37220-000
Brás Pires,-20.8784,-43.2244,36542-000
Bonfinópolis de Minas,-16.5442,-46.1327,38650-000
Braúnas,-19.0218,-42.714,35169-000
Bonito de Minas,-14.9101,-44.8847,39490-000
Brasilândia de Minas,-16.9306,-45.9638,38779-000
Borda da Mata,-22.2511,-46.1671,37564-000
Botelhos,-21.649,-46.4283,37720-000
Botumirim,-16.9095,-43.0085,39596-000
Brasília de Minas,-16.2525,-44.4571,39330-000
Cabeceira Grande,-16.0618,-47.1757,38625-000
Brumadinho,-20.2045,-44.1539,35460-000
Brasópolis,-22.4817,-45.628,37530-000
Buritizeiro,-17.4058,-45.3045,39280-000
Bueno Brandão,-22.5046,-46.3527,37578-000
Buenópolis,-17.8746,-44.0237,39230-000
Bugre,-19.367,-42.3081,35193-000
Cabo Verde,-21.487,-46.38,37880-000
Buritis,-15.4139,-46.5547,38660-000
Cachoeira da Prata,-19.5186,-44.4625,35765-000
Caeté,-19.8702,-43.6506,34800-000
Caetanópolis,-19.3347,-44.41,35770-000
Cachoeira de Minas,-22.3556,-45.7945,37545-000
Camacho,-20.6422,-45.1433,35555-000
Cachoeira Dourada,-18.5909,-49.4701,38370-000
Camanducaia,-22.7906,-46.0784,37650-000
Caldas,-21.8867,-46.3592,37780-000
Caiana,-20.7308,-41.9002,36832-000
Campo Florido,-19.6926,-48.6566,38130-000
Cambuquira,-21.8538,-45.2717,37420-000
Campanha,-21.8141,-45.3975,37400-000
Campestre,-21.7344,-46.2257,37730-000
Cajuri,-20.7874,-42.7626,36560-000
Cambuí,-22.5824,-46.0612,37600-000
Campanário,-18.2749,-41.7391,39835-000
Campina Verde,-19.4611,-49.7397,38270-000
Campo Belo,-20.9245,-45.234,37270-000
Campo do Meio,-21.126,-45.7957,37165-000
Campo Azul,-16.5216,-44.8068,39338-000
Campos Altos,-19.6369,-46.1981,38970-000
Campos Gerais,-21.2471,-45.7139,37160-000
Canápolis,-18.7778,-49.2758,38380-000
Canaã,-20.6613,-42.6379,36592-000
Cana Verde,-21.0206,-45.1833,37267-000
Candeias,-20.7389,-45.2872,37280-000
Capinópolis,-18.6922,-49.5794,38360-000
Caparaó,-20.459,-41.8748,36834-000
Capitão Andrade,-19.0429,-41.8261,35123-000
Caraí,-17.1809,-41.5496,39810-000
Capitão Enéas,-16.0563,-43.6747,39445-000
Caranaíba,-20.8853,-43.7123,36428-000
Caputira,-20.1851,-42.2528,36925-000
Capetinga,-20.653,-47.0183,37993-000
Cantagalo,-18.5103,-42.6498,39703-000
Capela Nova,-20.9184,-43.6159,36290-000
Carandaí,-20.9884,-43.8341,36280-000
Capitólio,-20.5923,-46.1572,37930-000
Capelinha,-17.6917,-42.5021,39680-000
Capim Branco,-19.5783,-44.1666,35730-000
Caratinga,-19.6957,-42.1201,35300-000
Carangola,-20.7078,-42.1049,36800-000
Carmésia,-19.0653,-43.184,35878-000
Careaçu,-22.0796,-45.6654,37556-000
Carbonita,-17.4788,-43.0488,39665-000
Carlos Chagas,-17.6782,-40.8852,39864-000
Cássia,-20.5929,-46.9176,37980-000
Carmo da Mata,-20.5685,-44.8852,35547-000
Carmo do Rio Claro,-20.9797,-46.1045,37150-000
Cascalho Rico,-18.5462,-47.8513,38460-000
Carneirinho,-19.7142,-50.8087,38290-000
Carmópolis de Minas,-20.5491,-44.6453,35534-000
Carmo de Minas,-22.0886,-45.1495,37472-000
Carvalhos,-22.031,-44.4754,37456-000
Carmo do Paranaíba,-18.8734,-46.1443,38840-000
Carmo do Cajuru,-20.1878,-44.714,35510-000
Carrancas,-21.4959,-44.6104,37245-000
Carmo da Cachoeira,-21.4332,-45.1804,37225-000
Carvalhópolis,-21.7749,-45.8269,37760-000
Casa Grande,-20.8407,-43.9395,36422-000
Conceição da Barra de Minas,-21.1423,-44.4886,36360-000
Cataguases,-21.3455,-42.6498,36770-000
Cedro do Abaeté,-19.1146,-45.7007,35624-000
Chácara,-21.6792,-43.2183,36110-000
Catuti,-15.3236,-43.1139,39526-000
Catuji,-17.3633,-41.4818,39816-000
Cipotânea,-20.9303,-43.3655,36265-000
Chiador,-21.9725,-43.0074,36630-000
Catas Altas,-20.0705,-43.422,35969-000
Central de Minas,-18.7678,-41.2896,35260-000
Caxambu,-21.9602,-44.953,37440-000
Coimbra,-20.8449,-42.7983,36550-000
Chapada Gaúcha,-15.5793,-45.4124,39314-000
Centralina,-18.6092,-49.1606,38390-000
Chalé,-20.0335,-41.6781,36985-000
Catas Altas da Noruega,-20.6809,-43.4978,36450-000
Chapada do Norte,-17.1629,-42.3772,39648-000
Claro dos Poções,-17.0968,-44.233,39380-000
Cláudio,-20.3901,-44.7913,35530-000
Claraval,-20.3568,-47.2524,37997-000
Coluna,-18.2684,-42.8281,39770-000
Conceição da Aparecida,-21.1012,-46.2263,37148-000
Comercinho,-16.289,-41.7735,39628-000
Conceição das Alagoas,-19.9563,-48.3051,38120-000
Cônego Marinho,-14.9876,-44.6096,39489-000
Congonhal,-22.1354,-46.0399,37557-000
Conceição do Pará,-19.7855,-44.8702,35668-000
Conceição das Pedras,-22.1387,-45.4269,37527-000
Conceição dos Ouros,-22.4504,-45.7798,37548-000
Conceição de Ipanema,-19.9178,-41.7002,36947-000
Conceição do Mato Dentro,-18.9001,-43.5023,35860-000
Comendador Gomes,-19.6533,-49.0874,38250-000
Conceição do Rio Verde,-21.9013,-45.0797,37430-000
Congonhas do Norte,-18.886,-43.6962,35850-000
Congonhas,-20.5316,-43.8591,36415-000
Confins,-19.6569,-43.9813,33500-000
Conquista,-19.8684,-47.6335,38195-000
Conselheiro Lafaiete,-20.6514,-43.8055,36400-000
Conselheiro Pena,-19.1741,-41.458,35240-000
Consolação,-22.54,-45.9041,37670-000
Contagem,-19.8872,-44.0759,32000-000
Cordisburgo,-19.0993,-44.1646,35780-000
Coração de Jesus,-16.6083,-44.437,39340-000
Coqueiral,-21.1795,-45.4362,37235-000
Cordislândia,-21.7875,-45.6716,37498-000
Coronel Fabriciano,-19.4566,-42.6853,35170-000
Córrego Fundo,-20.4503,-45.5359,35578-000
Coronel Murta,-16.5893,-42.1974,39635-000
Corinto,-18.3525,-44.6059,39200-000
Coroaci,-18.6119,-42.2584,39710-000
Coronel Xavier Chaves,-21.0287,-44.2022,36330-000
Coromandel,-18.4046,-47.1516,38550-000
Coronel Pacheco,-21.6087,-43.2901,36155-000
Córrego Danta,-19.8135,-45.9615,38990-000
Córrego do Bom Jesus,-22.63,-45.9968,37605-000
Couto de Magalhães de Minas,-18.1186,-43.4181,39188-000
Crisólita,-17.2415,-40.975,39885-000
Córrego Novo,-19.8287,-42.4421,35345-000
Cristália,-16.7255,-42.8187,39598-000
Cristais,-20.8096,-45.5245,37275-000
Cristina,-22.2159,-45.2882,37476-000
Diogo de Vasconcelos,-20.4759,-43.1909,35437-000
Cruzília,-21.736,-44.7983,37445-000
Cristiano Otoni,-20.8369,-43.8293,36426-000
Descoberto,-21.4517,-42.9713,36690-000
Curral de Dentro,-15.8463,-41.7541,39998-000
Datas,-18.4807,-43.6522,39130-000
Divinésia,-20.9946,-42.9951,36546-000
Desterro de Entre Rios,-20.6419,-44.2814,35494-000
Delfim Moreira,-22.5116,-45.2897,37514-000
Cuparaque,-18.9966,-41.1337,35246-000
Dionísio,-19.8368,-42.6882,35984-000
Curvelo,-18.7852,-44.416,35790-000
Cruzeiro da Fortaleza,-18.9671,-46.6578,38735-000
Divino,-20.5803,-42.1955,36820-000
Delta,-19.9341,-47.8044,38108-000
Diamantina,-17.9779,-43.6042,39100-000
Delfinópolis,-20.3671,-46.7113,37910-000
Crucilândia,-20.4066,-44.3599,35520-000
Desterro do Melo,-21.1429,-43.5201,36210-000
Divino das Laranjeiras,-18.7124,-41.4916,35265-000
Divinolândia de Minas,-18.7756,-42.5707,39735-000
Divinópolis,-20.1169,-44.9162,35500-000
Dom Cavati,-19.3884,-42.0937,35148-000
Dores do Indaiá,-19.4743,-45.5405,35610-000
Dores de Campos,-21.1137,-43.9936,36213-000
Divisa Alegre,-15.6945,-41.3911,39995-000
Dom Joaquim,-18.9293,-43.266,35865-000
Dom Silvério,-20.1273,-42.9465,35440-000
Dores do Turvo,-21.0278,-43.1637,36513-000
Dom Bosco,-16.8113,-46.2846,38654-000
Divisa Nova,-21.5238,-46.2442,37134-000
Divisópolis,-15.7674,-40.9239,39912-000
Dom Viçoso,-22.2318,-45.1488,37474-000
Dores de Guanhães,-19.044,-42.9282,35894-000
Dona Eusébia,-21.3234,-42.8083,36784-000
Doresópolis,-20.2969,-45.8686,37926-000
Douradoquara,-18.442,-47.6148,38530-000
Durandé,-20.1518,-41.7824,36974-000
Elói Mendes,-21.6007,-45.5947,37110-000
Engenheiro Caldas,-19.1135,-42.0179,35130-000
Entre Folhas,-19.6596,-42.241,35324-000
Entre Rios de Minas,-20.7028,-44.1069,35490-000
Engenheiro Navarro,-17.3093,-44.0347,39417-000
Espinosa,-14.8598,-42.9918,39510-000
Ervália,-20.8468,-42.6197,36555-000
Estiva,-22.4528,-46.0224,37542-000
Espera Feliz,-20.5935,-41.9198,36830-000
Esmeraldas,-19.7414,-44.3231,35740-000
Espírito Santo do Dourado,-22.006,-45.99,37566-000
Estrela do Indaiá,-19.5808,-45.8119,35613-000
Ewbank da Câmara,-21.5723,-43.5534,36108-000
Faria Lemos,-20.7826,-42.0279,36840-000
Estrela Dalva,-21.6933,-42.4683,36725-000
São Gonçalo do Rio Preto,-18.0763,-43.3553,39185-000
Fama,-21.4684,-45.8201,37138-000
Estrela do Sul,-18.7223,-47.6973,38525-000
Felício dos Santos,-18.1551,-43.2405,39180-000
Eugenópolis,-21.0189,-42.2183,36855-000
Extrema,-22.8265,-46.2835,37640-000
Felisburgo,-16.6615,-40.7181,39895-000
Felixlândia,-18.6941,-44.9194,35794-000
Fernandes Tourinho,-19.103,-42.0946,35135-000
Fortaleza de Minas,-20.8817,-46.7744,37905-000
Fortuna de Minas,-19.5484,-44.5023,35760-000
Ferros,-19.238,-42.9702,35800-000
Fronteira dos Vales,-16.8917,-40.8301,39870-000
Francisco Sá,-16.4102,-43.495,39580-000
Francisco Badaró,-16.953,-42.2805,39644-000
Fervedouro,-20.6879,-42.3421,36815-000
Franciscópolis,-18.0098,-41.9844,39695-000
Formiga,-20.5401,-45.4776,35570-000
Formoso,-15.1475,-46.0937,38690-000
Florestal,-19.8652,-44.4425,35690-000
Francisco Dumont,-17.3977,-44.2177,39387-000
Frei Lagonegro,-18.1429,-42.7606,39708-000
Frei Inocêncio,-18.514,-41.871,35112-000
Fronteira,-20.2228,-49.1764,38230-000
Frei Gaspar,-18.1401,-41.4929,39840-000
Fruta de Leite,-16.1621,-42.5286,39558-000
Galiléia,-18.869,-41.525,35250-000
Frutal,-19.9781,-48.9563,38200-000
Gameleiras,-14.971,-43.3061,39505-000
Gouveia,-18.5358,-43.8536,39120-000
Gonzaga,-18.8787,-42.4951,39720-000
Goiabeira,-19.0296,-41.2272,35248-000
Glaucilândia,-16.8953,-43.6608,39592-000
Governador Valadares,-18.7907,-41.9902,35000-000
Funilândia,-19.3519,-44.082,35709-000
Guapé,-20.774,-45.8994,37177-000
Guanhães,-18.8571,-42.8052,39740-000
Goianá,-21.5606,-43.1851,36152-000
Guaranésia,-21.2882,-46.8223,37810-000
Grupiara,-18.4796,-47.7714,38470-000
Gonçalves,-22.6748,-45.8378,37680-000
Grão Mogol,-16.4901,-42.9654,39570-000
Guarará,-21.758,-43.0247,36606-000
Guaraciama,-17.0807,-43.6031,39397-000
Guaraciaba,-20.5692,-43.0115,35436-000
Guarani,-21.3504,-43.0589,36160-000
Guarda-Mor,-17.7639,-47.1478,38570-000
Guiricema,-21.0129,-42.6989,36525-000
Guidoval,-21.1768,-42.7902,36515-000
Guaxupé,-21.2918,-46.6811,37800-000
Ibiracatu,-15.6669,-44.1328,39455-000
Ibertioga,-21.4514,-43.9432,36225-000
Guimarânia,-18.8169,-46.7355,38730-000
Gurinhatã,-19.0664,-49.8688,38310-000
Heliodora,-22.0416,-45.5443,37484-000
Ibiá,-19.5437,-46.6173,38950-000
Iapu,-19.3509,-42.2373,35190-000
Ibiraci,-20.4014,-47.1427,37990-000
Ibiaí,-16.81,-44.7923,39350-000
Ibituruna,-21.1636,-44.7755,37223-000
Iguatama,-20.1453,-45.7419,38910-000
Igarapé,-20.0542,-44.3164,32900-000
Icaraí de Minas,-16.2211,-44.8592,39318-000
Igaratinga,-19.9601,-44.7211,35695-000
Ibitiúra de Minas,-22.0672,-46.4074,37790-000
Ibirité,-20.015,-44.0769,32400-000
Ilicínea,-20.9302,-45.8182,37175-000
Indianópolis,-18.9722,-47.8856,38490-000
Inhapim,-19.5033,-41.9617,35330-000
Ijaci,-21.1835,-44.9224,37205-000
Ipatinga,-19.4386,-42.606,35160-000
Inhaúma,-19.4997,-44.4242,35710-000
Inimutaba,-18.7115,-44.2757,35796-000
Imbé de Minas,-19.6438,-41.977,35323-000
Ingaí,-21.4132,-44.9368,37215-000
Ipaba,-19.4056,-42.3607,35198-000
Iraí de Minas,-19.0633,-47.437,38510-000
Itabira,-19.5757,-43.285,35900-000
Itabirinha de Mantena,-18.5298,-41.2537,35280-000
Ipuiúna,-22.0073,-46.1247,37559-000
Indaiabira,-15.5763,-42.1573,39536-000
Inconfidentes,-22.3404,-46.2849,37576-000
Ipiaçu,-18.7068,-49.9175,38350-000
Itabirito,-20.2384,-43.7802,35450-000
Itacambira,-16.8865,-43.3077,39594-000
Ipanema,-19.7572,-41.768,36950-000
Itaguara,-20.3787,-44.5461,35514-000
Itacarambi,-15.1948,-44.1267,39470-000
Itaipé,-17.4274,-41.6551,39815-000
Itajubá,-22.4205,-45.4214,37500-000
Itamarandiba,-17.8543,-42.8941,39670-000
Itapagipe,-19.7509,-49.4285,38240-000
Itambacuri,-18.1851,-41.8889,39830-000
Itanhandu,-22.3247,-44.9131,37464-000
Itapeva,-22.6983,-46.2129,37655-000
Itamogi,-21.0861,-47.0506,37955-000
Itambé do Mato Dentro,-19.4032,-43.341,35820-000
Itaverava,-20.7081,-43.5928,36440-000
Itamarati de Minas,-21.4188,-42.8339,36788-000
Itaobim,-16.5633,-41.5349,39625-000
Itatiaiuçu,-20.2216,-44.4659,35685-000
Itapecerica,-20.454,-45.0881,35550-000
Itaú de Minas,-20.7179,-46.7793,37975-000
Itanhomi,-19.1548,-41.8333,35120-000
Itamonte,-22.2873,-44.7527,37466-000
Itaúna,-20.0744,-44.5863,35680-000
Itinga,-16.6072,-41.8318,39610-000
Itueta,-19.3777,-41.0976,35220-000
Jacuí,-21.011,-46.7184,37965-000
Itutinga,-21.3482,-44.7239,36390-000
Ituiutaba,-19.0151,-49.5504,38300-000
Japonvar,-15.9472,-44.3483,39335-000
Jacutinga,-22.2963,-46.6104,37590-000
Januária,-15.2864,-44.984,39480-000
Jacinto,-16.1921,-40.3318,39930-000
Iturama,-19.6946,-50.3822,38280-000
Jaboticatubas,-19.4191,-43.7455,35830-000
Jenipapo de Minas,-17.1873,-42.2122,39645-000
Jaguaraçu,-19.6359,-42.717,35188-000
Jequeri,-20.4808,-42.6157,35390-000
Itumirim,-21.2847,-44.8332,37210-000
Janaúba,-15.7788,-43.3676,39440-000
Japaraíba,-20.1293,-45.5373,35580-000
Jaíba,-15.2164,-43.6703,39508-000
Jampruca,-18.4723,-41.7574,39837-000
Jeceaba,-20.5558,-44.0311,35498-000
Jequitaí,-17.1689,-44.4619,39370-000
Jequitibá,-19.2147,-44.0305,35767-000
Jequitinhonha,-16.4068,-41.0578,39960-000
Joanésia,-19.2032,-42.7067,35168-000
Jesuânia,-22.0085,-45.2824,37485-000
Joaíma,-16.8038,-41.0111,39890-000
Joaquim Felício,-17.6232,-44.0937,39240-000
João Pinheiro,-17.5573,-45.9731,38770-000
Josenópolis,-16.5531,-42.517,39575-000
João Monlevade,-19.8386,-43.1556,35930-000
Juiz de Fora,-21.749,-43.4382,36000-000
José Raydan,-18.2637,-42.4653,39775-000
Jordânia,-15.8749,-40.3053,39920-000
José Gonçalves de Minas,-16.905,-42.669,39642-000
Ladainha,-17.6437,-41.8326,39825-000
Juatuba,-19.9598,-44.353,35675-000
Juvenília,-14.3766,-44.1023,39467-000
Nova União,-19.6436,-43.578,34990-000
Juruaia,-21.2265,-46.5145,37805-000
Juramento,-16.8334,-43.5883,39590-000
Lagoa da Prata,-19.998,-45.4995,35590-000
Lagoa Dourada,-20.9103,-44.0651,36345-000
Lagoa Formosa,-18.7649,-46.2901,38720-000
Lagamar,-17.9771,-46.7009,38785-000
Lagoa dos Patos,-17.0143,-44.6663,39360-000
Lagoa Santa,-19.6268,-43.8799,33400-000
Lavras,-21.2674,-45.0419,37200-000
Lassance,-17.9101,-44.7086,39250-000
Lamim,-20.7748,-43.4849,36455-000
Leandro Ferreira,-19.6749,-45.0613,35657-000
Lontra,-15.8394,-44.2782,39437-000
Lagoa Grande,-17.7452,-46.5356,38755-000
Laranjal,-21.3592,-42.4566,36760-000
Lambari,-21.9859,-45.3517,37480-000
Lajinha,-20.1241,-41.6153,36980-000
Leme do Prado,-17.0525,-42.7459,39655-000
Lima Duarte,-21.7904,-43.8958,36140-000
Limeira do Oeste,-19.3879,-50.6128,38295-000
Liberdade,-22.0163,-44.3476,37350-000
Leopoldina,-21.5349,-42.6447,36700-000
Luisburgo,-20.4464,-42.0729,36923-000
Machado,-21.6955,-45.8881,37750-000
Luz,-19.8419,-45.6754,35595-000
Luislândia,-16.1992,-44.6097,39336-000
Manhumirim,-20.3475,-41.9356,36970-000
Luminárias,-21.5153,-44.9262,37240-000
Mar de Espanha,-21.876,-43.0219,36640-000
Mamonas,-15.033,-42.9451,39516-000
Maravilhas,-19.5123,-44.6799,35666-000
Manhuaçu,-20.1865,-42.0865,36900-000
Manga,-14.6587,-44.1262,39460-000
Malacacheta,-17.838,-42.0889,39690-000
Machacalis,-17.0881,-40.7183,39873-000
Madre de Deus de Minas,-21.4846,-44.3326,37305-000
Mantena,-18.6855,-41.1075,35290-000
Mariana,-20.324,-43.3066,35420-000
Mário Campos,-20.0723,-44.176,32470-000
Maria da Fé,-22.3272,-45.3172,37517-000
Marilac,-18.4952,-42.0656,35115-000
Maripá de Minas,-21.701,-42.9593,36608-000
Marliéria,-19.6924,-42.6272,35185-000
